GENE_ID	GENE_NAME	GENE_DESCRIPTION	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000023349.15	Clec4n	C-type lectin domain family 4, member n 	5.450658051	0.365319259	0.79888152	0.457288409	0.64746376	NA
ENSMUSG00000100254.2	Trpc2	transient receptor potential cation channel, subfamily C, member 2 	36.29711506	-1.399929084	3.061644833	-0.457247382	0.647493245	0.922499281
ENSMUSG00000027639.17	Samhd1	SAM domain and HD domain, 1 	1176.74945	-0.028292706	0.0618871	-0.457166459	0.647551405	0.922502001
ENSMUSG00000058628.5	Olfr875	olfactory receptor 875 	0.514900816	1.340200531	2.931653717	0.457148306	0.647564451	NA
ENSMUSG00000035775.3	Krt20	keratin 20 	0.514900816	1.340200531	2.931653717	0.457148306	0.647564451	NA
ENSMUSG00000101436.2	Gm5157	predicted gene 5157 	0.514900816	1.340200531	2.931653717	0.457148306	0.647564451	NA
ENSMUSG00000070313.9	Pate14	prostate and testis expressed 14 	0.514900816	1.340200531	2.931653717	0.457148306	0.647564451	NA
ENSMUSG00000113015.2	Gm6296	predicted gene 6296 	0.555835105	1.584966751	3.468661166	0.456939054	0.647714852	NA
ENSMUSG00000094191.2	Rpl31-ps14	ribosomal protein L31, pseudogene 14 	0.516196756	-1.344592655	2.942882463	-0.456896486	0.64774545	NA
ENSMUSG00000061390.7	Uba52-ps	ubitquitin A-52 residue ribosomal protein fusion product 1, pseudogene 	0.838461413	-1.219436541	2.66900222	-0.456888545	0.647751158	NA
ENSMUSG00000113659.2	Gm49248	predicted gene, 49248 	1.164633157	0.973251642	2.130285156	0.45686449	0.647768449	NA
ENSMUSG00000101777.2	Gm9127	predicted gene 9127 	1.781674988	0.766382846	1.677529137	0.456852182	0.647777296	NA
ENSMUSG00000097977.2	Gm5652	predicted gene 5652 	3.043116864	-0.443084683	0.969975597	-0.456799825	0.647814931	NA
ENSMUSG00000005103.13	Wdr1	WD repeat domain 1 	3576.368139	-0.074890918	0.164006955	-0.456632572	0.647935164	0.922948018
ENSMUSG00000095620.8	Csta2	cystatin A family member 2 	2.039267509	-0.532807286	1.166909243	-0.456597022	0.64796072	NA
ENSMUSG00000014039.19	Prdm15	PR domain containing 15 	919.0491117	-0.086929037	0.190394057	-0.456574319	0.647977042	0.922948018
ENSMUSG00000110457.3	Gm45752	predicted gene 45752 	2.492118532	0.576546219	1.262806104	0.456559576	0.64798764	NA
ENSMUSG00000048592.10	Gm5946	predicted gene 5946 	0.982606594	1.029537875	2.255255438	0.456506105	0.648026082	NA
ENSMUSG00000113684.2	Gm48418	predicted gene, 48418 	201.8774515	-0.089457287	0.195975689	-0.456471352	0.648051067	0.922973296
ENSMUSG00000068394.5	Cep152	centrosomal protein 152 	212.2175248	0.057603351	0.126217833	0.456380445	0.648116425	0.922986226
ENSMUSG00000039814.16	Xkr5	X-linked Kx blood group related 5 	5.759966087	-0.313945308	0.68792547	-0.456365293	0.648127319	NA
ENSMUSG00000081964.2	Gm11873	predicted gene 11873 	0.725429606	-1.047155731	2.294613308	-0.456353899	0.648135511	NA
ENSMUSG00000020986.14	Sec23a	SEC23 homolog A, COPII coat complex component 	3186.877381	0.02201548	0.048248548	0.456293115	0.648179214	0.922995495
ENSMUSG00000066755.3	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18 	0.849764038	-1.243475569	2.726263368	-0.456109848	0.648310989	NA
ENSMUSG00000001156.10	Mxd1	MAX dimerization protein 1 	1567.461882	-0.026866572	0.058910938	-0.456054062	0.648351103	0.923124842
ENSMUSG00000070388.4	Fbxo39	F-box protein 39 	0.510046974	1.340213249	2.938879404	0.456028664	0.648369366	NA
ENSMUSG00000081358.2	Gm14746	predicted gene 14746 	0.510046974	1.340213249	2.938879404	0.456028664	0.648369366	NA
ENSMUSG00000107037.2	Gm29793	predicted gene, 29793 	0.762690213	1.038615436	2.277572563	0.456018593	0.648376608	NA
ENSMUSG00000113577.2	Gm19238	predicted gene, 19238 	0.759492031	-1.036852246	2.27384325	-0.455991083	0.648396391	NA
ENSMUSG00000037270.19	4932438A13Rik	RIKEN cDNA 4932438A13 gene 	8923.947918	-0.019165707	0.042048766	-0.455797137	0.648535863	0.923124842
ENSMUSG00000072487.12	Mroh5	maestro heat-like repeat family member 5 	36.15393931	0.119058098	0.261271804	0.455686747	0.648615254	0.923124842
ENSMUSG00000068130.12	Zfp442	zinc finger protein 442 	207.7419229	0.069057977	0.151548184	0.455683305	0.648617729	0.923124842
ENSMUSG00000107185.2	Gm42642	predicted gene 42642 	10.31350323	0.226527619	0.497132558	0.455668442	0.648628418	0.923124842
ENSMUSG00000024471.13	Myot	myotilin 	1.214177718	0.705596183	1.548542319	0.455651857	0.648640347	NA
ENSMUSG00000112070.2	Gm47809	predicted gene, 47809 	3.131183582	-0.453738358	0.995999606	-0.455560781	0.648705851	NA
ENSMUSG00000043441.6	Gpr149	G protein-coupled receptor 149 	309.8114162	0.110400337	0.242377958	0.455488355	0.648757943	0.923124842
ENSMUSG00000021414.9	Fam217a	family with sequence similarity 217, member A 	42.18487591	-0.161151806	0.353810628	-0.455474746	0.648767732	0.923124842
ENSMUSG00000043131.15	Mob1a	MOB kinase activator 1A 	1400.776438	-0.031898862	0.070042937	-0.455418682	0.648808057	0.923124842
ENSMUSG00000048285.10	Frmd6	FERM domain containing 6 	738.1953927	0.035849463	0.078729186	0.455351624	0.648856292	0.923124842
ENSMUSG00000098895.2	Gm21013	predicted gene, 21013 	3.998177694	0.408565404	0.897323711	0.455315511	0.648882269	NA
ENSMUSG00000071553.11	Cpa2	carboxypeptidase A2, pancreatic 	26.3910026	0.152680827	0.335336353	0.455306516	0.648888739	0.923124842
ENSMUSG00000100819.2	Gm2693	predicted gene 2693 	2.953812927	0.433692444	0.952636538	0.455254892	0.648925874	NA
ENSMUSG00000096726.3	Gm5558	predicted gene 5558 	1.621750471	0.657744775	1.444791946	0.455252244	0.648927779	NA
ENSMUSG00000068329.13	Htra2	HtrA serine peptidase 2 	735.1613397	0.054647929	0.120040153	0.455247084	0.648931491	0.923124842
ENSMUSG00000040312.15	Cchcr1	coiled-coil alpha-helical rod protein 1 	267.8006103	0.081760211	0.179617199	0.455191437	0.648971521	0.923124842
ENSMUSG00000024900.6	Cpt1a	carnitine palmitoyltransferase 1a, liver 	1514.753922	-0.065588486	0.144103217	-0.455149353	0.649001795	0.923124842
ENSMUSG00000046934.6	Csl	citrate synthase like 	0.49453813	1.349135182	2.964596118	0.455082287	0.649050041	NA
ENSMUSG00000083725.2	Gm11865	predicted gene 11865 	0.49453813	1.349135182	2.964596118	0.455082287	0.649050041	NA
ENSMUSG00000033249.11	Hsf4	heat shock transcription factor 4 	171.9031922	0.120899814	0.26567458	0.455067299	0.649060823	0.923128739
ENSMUSG00000081797.2	Gm8662	predicted gene 8662 	0.514688652	-1.339664668	2.944013289	-0.455047086	0.649075364	NA
ENSMUSG00000069895.5	Atxn1l	ataxin 1-like 	2955.057757	-0.091333201	0.20073815	-0.45498676	0.649118764	0.92313109
ENSMUSG00000070378.4	Olfr403	olfactory receptor 403 	4.32985089	0.370230583	0.813851967	0.454911455	0.649172941	NA
ENSMUSG00000015476.7	Prrt1	proline-rich transmembrane protein 1 	4843.619579	0.03902449	0.085805402	0.454802249	0.649251512	0.923239816
ENSMUSG00000058869.10	Gm4832	predicted gene 4832 	0.723921502	-1.043548551	2.294742649	-0.454756245	0.649284612	NA
ENSMUSG00000004360.10	9330159F19Rik	RIKEN cDNA 9330159F19 gene 	3637.292443	0.052011627	0.114420256	0.454566601	0.649421068	0.923328383
ENSMUSG00000072955.15	Tmsb15l	thymosin beta 15b like 	52.4167993	-0.123816966	0.272390057	-0.454557581	0.649427558	0.923328383
ENSMUSG00000082815.3	Gm5678	predicted gene 5678 	0.748703387	-1.037212039	2.282113227	-0.454496309	0.649471648	NA
ENSMUSG00000111267.2	Gm18292	predicted gene, 18292 	0.493651753	1.347736925	2.965609587	0.454455276	0.649501175	NA
ENSMUSG00000032023.8	Jhy	junctional cadherin complex regulator 	15.26908889	-0.359823762	0.791858274	-0.454404246	0.649537897	0.923328383
ENSMUSG00000036943.10	Rab8b	RAB8B, member RAS oncogene family 	1381.718513	-0.039945426	0.087907542	-0.454402716	0.649538998	0.923328383
ENSMUSG00000111626.2	Gm48738	predicted gene, 48738 	0.969476347	0.746322275	1.643001169	0.454243301	0.64965372	NA
ENSMUSG00000058114.4	Olfr127	olfactory receptor 127 	21.32031993	0.169945992	0.374237459	0.454112725	0.649747695	0.923348774
ENSMUSG00000038295.15	Atg9b	autophagy related 9B 	134.2349331	0.13230794	0.291361779	0.454101911	0.649755478	0.923348774
ENSMUSG00000114642.2	Gm5461	predicted gene 5461 	1.292497641	-0.795894167	1.752683494	-0.454100338	0.64975661	NA
ENSMUSG00000095762.2	Gm16378	predicted gene 16378 	9.010717188	-0.29086089	0.640568663	-0.454066686	0.64978083	NA
ENSMUSG00000020777.17	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl 	8173.94575	0.019364055	0.042646168	0.454063179	0.649783355	0.923348774
ENSMUSG00000052407.18	Ccdc171	coiled-coil domain containing 171 	171.910551	0.091245296	0.20097839	0.454005506	0.649824864	0.923348774
ENSMUSG00000029710.16	Ephb4	Eph receptor B4 	230.4204875	0.064726417	0.142571828	0.453991631	0.64983485	0.923348774
ENSMUSG00000117477.2	Gm50092	predicted gene, 50092 	0.740435114	1.054446049	2.323672638	0.453784252	0.64998412	NA
ENSMUSG00000111946.2	Gm47495	predicted gene, 47495 	11.50269694	-0.37940209	0.836314882	-0.453659379	0.650074008	0.923554817
ENSMUSG00000046618.8	Olfml2a	olfactomedin-like 2A 	131.7581068	-0.075744398	0.166972597	-0.453633707	0.650092488	0.923554817
ENSMUSG00000047108.5	Dnajb7	DnaJ heat shock protein family (Hsp40) member B7 	1.606839637	-0.608879959	1.342424071	-0.453567522	0.650140134	NA
ENSMUSG00000050138.9	Kcnk12	potassium channel, subfamily K, member 12 	33.51854138	0.136250558	0.300420574	0.453532712	0.650165194	0.923577631
ENSMUSG00000031394.12	Opn1mw	opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan) 	18.25493823	0.236761026	0.52225379	0.453344774	0.650300497	0.923577631
ENSMUSG00000031452.16	1700029H14Rik	RIKEN cDNA 1700029H14 gene 	1.924731026	-0.888142548	1.959313839	-0.453292643	0.65033803	NA
ENSMUSG00000032496.8	Ltf	lactotransferrin 	3.251947055	0.624298194	1.377263953	0.453288705	0.650340865	NA
ENSMUSG00000008438.4	Adam21	a disintegrin and metallopeptidase domain 21 	11.51155159	0.208508418	0.46004051	0.453239254	0.650376469	0.923577631
ENSMUSG00000021112.10	Mpp5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) 	1719.169404	-0.054257709	0.119711241	-0.453238218	0.650377216	0.923577631
ENSMUSG00000046204.15	Pnma2	paraneoplastic antigen MA2 	2292.317202	-0.049122497	0.108385477	-0.453220287	0.650390126	0.923577631
ENSMUSG00000031422.17	Morf4l2	mortality factor 4 like 2 	6561.105417	0.028883716	0.063759911	0.453007476	0.650543358	0.923692387
ENSMUSG00000036667.15	Tcaf1	TRPM8 channel-associated factor 1 	15882.60322	-0.034220921	0.075574831	-0.452808436	0.650686688	0.923692387
ENSMUSG00000026753.6	Ppp6c	protein phosphatase 6, catalytic subunit 	1841.8717	-0.034901674	0.077079088	-0.452803416	0.650690303	0.923692387
ENSMUSG00000022802.3	Lmln	leishmanolysin-like (metallopeptidase M8 family) 	655.2123215	-0.065656065	0.145001685	-0.452795189	0.650696228	0.923692387
ENSMUSG00000024050.19	Wiz	widely-interspaced zinc finger motifs 	1853.418501	0.026451508	0.058437287	0.452647782	0.650802386	0.923696404
ENSMUSG00000030247.10	Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8 	174.7436578	-0.069886652	0.154433629	-0.452535188	0.650883478	0.923696404
ENSMUSG00000029378.6	Areg	amphiregulin 	6.366786392	-0.300474033	0.664077745	-0.452468157	0.650931756	NA
ENSMUSG00000034584.4	Exph5	exophilin 5 	290.6157339	0.077972072	0.172381282	0.452323313	0.651036084	0.923696404
ENSMUSG00000022132.16	Cldn10	claudin 10 	877.4391522	0.046292074	0.102346194	0.452308702	0.651046608	0.923696404
ENSMUSG00000115577.2	Gm49250	predicted gene, 49250 	3.768392985	1.053523539	2.329285262	0.452294769	0.651056644	NA
ENSMUSG00000026348.8	Acmsd	amino carboxymuconate semialdehyde decarboxylase 	6.942864379	0.295821309	0.654048523	0.452292604	0.651058203	NA
ENSMUSG00000000276.12	Dgke	diacylglycerol kinase, epsilon 	3065.642959	-0.033314703	0.07366147	-0.452267685	0.651076153	0.923696404
ENSMUSG00000044934.14	Zfp367	zinc finger protein 367 	440.1993476	0.057548458	0.127250675	0.452244811	0.65109263	0.923696404
ENSMUSG00000026447.18	Pik3c2b	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta 	3811.670194	0.042953537	0.094978707	0.452243854	0.651093319	0.923696404
ENSMUSG00000066688.5	Pramel21	PRAME like 21 	2.399641053	0.519267495	1.148297228	0.452206521	0.651120211	NA
ENSMUSG00000062310.8	Glrp1	glutamine repeat protein 1 	5.981774402	-0.356350524	0.788063066	-0.452185287	0.651135506	NA
ENSMUSG00000082986.2	Gm11389	predicted gene 11389 	0.501920026	-1.339826627	2.96322362	-0.45215171	0.651159694	NA
ENSMUSG00000045591.7	Olig3	oligodendrocyte transcription factor 3 	0.501920026	-1.339826627	2.96322362	-0.45215171	0.651159694	NA
ENSMUSG00000111693.2	Gm47986	predicted gene, 47986 	0.501920026	-1.339826627	2.96322362	-0.45215171	0.651159694	NA
ENSMUSG00000044629.6	Cnrip1	cannabinoid receptor interacting protein 1 	931.6811191	0.057906759	0.128083903	0.452100207	0.651196794	0.923704593
ENSMUSG00000031902.11	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3 	783.841757	0.032068497	0.070935532	0.452079463	0.651211738	0.923704593
ENSMUSG00000116930.2	Gm49711	predicted gene, 49711 	4.061774788	-0.478489007	1.058700084	-0.451958977	0.651298536	NA
ENSMUSG00000024379.5	Tslp	thymic stromal lymphopoietin 	7.096004743	-0.322074654	0.712721837	-0.451893905	0.651345415	NA
ENSMUSG00000026254.18	Eif4e2	eukaryotic translation initiation factor 4E member 2 	2056.734294	-0.040345751	0.089282965	-0.451886323	0.651350878	0.923822053
ENSMUSG00000000320.11	Alox12	arachidonate 12-lipoxygenase 	43.93552635	0.120901836	0.267639689	0.451733587	0.651460919	0.923877108
ENSMUSG00000105074.2	Gm43818	predicted gene 43818 	0.49167177	1.340262013	2.967110927	0.451706069	0.651480746	NA
ENSMUSG00000096745.2	Gm12622	predicted gene 12622 	0.49167177	1.340262013	2.967110927	0.451706069	0.651480746	NA
ENSMUSG00000103601.2	Gm18150	predicted gene, 18150 	0.749240177	-0.897362525	1.986615233	-0.451704241	0.651482063	NA
ENSMUSG00000055633.7	Zfp580	zinc finger protein 580 	338.023851	0.069141672	0.153078008	0.451676065	0.651502363	0.923877108
ENSMUSG00000116168.2	Gm49430	predicted gene, 49430 	3.717590259	-0.40650447	0.89999754	-0.451672868	0.651504667	NA
ENSMUSG00000098223.2	Gm4891	predicted gene 4891 	0.989616857	-0.687670343	1.523001697	-0.451523032	0.651612629	NA
ENSMUSG00000036958.6	Cst11	cystatin 11 	2.382117504	0.461388863	1.02231554	0.45131747	0.651760756	NA
ENSMUSG00000031388.15	Naa10	N(alpha)-acetyltransferase 10, NatA catalytic subunit 	831.6497849	0.031731514	0.070320302	0.451242571	0.651814731	0.924135447
ENSMUSG00000049350.7	Zg16	zymogen granule protein 16 	1.132537453	0.65516907	1.452278717	0.451131771	0.651894581	NA
ENSMUSG00000014778.11	Fhod1	formin homology 2 domain containing 1 	401.7916978	0.07819052	0.173329197	0.45110992	0.651910328	0.924135447
ENSMUSG00000039809.11	Gabbr2	gamma-aminobutyric acid (GABA) B receptor, 2 	3505.99064	0.062736291	0.139103931	0.451003007	0.651987382	0.924135447
ENSMUSG00000035392.18	Dennd1a	DENN/MADD domain containing 1A 	2567.963677	0.022267516	0.049382096	0.450922857	0.652045149	0.924135447
ENSMUSG00000000531.6	Tamalin	trafficking regulator and scaffold protein tamalin 	1664.329648	0.058896064	0.130634401	0.450846509	0.652100178	0.924135447
ENSMUSG00000029134.15	Plb1	phospholipase B1 	33.16062655	-0.246617229	0.547048242	-0.450814408	0.652123316	0.924135447
ENSMUSG00000056014.16	A430033K04Rik	RIKEN cDNA A430033K04 gene 	764.165094	-0.041621271	0.092325905	-0.450808153	0.652127825	0.924135447
ENSMUSG00000039720.8	Got1l1	glutamic-oxaloacetic transaminase 1-like 1 	49.89054494	0.184939362	0.410249097	0.450797731	0.652135337	0.924135447
ENSMUSG00000052751.17	Repin1	replication initiator 1 	1794.942382	0.033830827	0.075060498	0.450714125	0.6521956	0.924140992
ENSMUSG00000083316.2	Gm15185	predicted gene 15185 	12.736984	-0.283049066	0.628114576	-0.450632858	0.652254181	0.924144152
ENSMUSG00000078695.9	Cisd3	CDGSH iron sulfur domain 3 	358.1500994	-0.097776603	0.217021636	-0.450538503	0.652322198	0.924160682
ENSMUSG00000044250.9	Pced1b	PC-esterase domain containing 1B 	186.3041723	-0.087522223	0.1943225	-0.450396754	0.652424385	0.924165287
ENSMUSG00000081305.2	Gm12879	predicted gene 12879 	96.50708305	-0.118340524	0.262778461	-0.450343318	0.652462909	0.924165287
ENSMUSG00000082432.2	Gm11231	predicted gene 11231 	2.36732066	0.586852065	1.30317544	0.450324682	0.652476344	NA
ENSMUSG00000035551.7	Igfbpl1	insulin-like growth factor binding protein-like 1 	122.1817236	-0.105617027	0.234548403	-0.450299495	0.652494503	0.924165287
ENSMUSG00000094811.8	Gm21103	predicted gene, 21103 	2.498421274	1.096661861	2.435901999	0.45020771	0.652560677	NA
ENSMUSG00000024855.11	Pacs1	phosphofurin acidic cluster sorting protein 1 	3362.674887	0.038206336	0.084874927	0.450148671	0.652603245	0.924206239
ENSMUSG00000037583.3	Nr0b2	nuclear receptor subfamily 0, group B, member 2 	0.949876529	0.840346951	1.867096895	0.450082132	0.65265122	NA
ENSMUSG00000023046.7	Igfbp6	insulin-like growth factor binding protein 6 	295.6644996	-0.073135527	0.162529191	-0.449983951	0.652722013	0.924206239
ENSMUSG00000023994.14	Nfya	nuclear transcription factor-Y alpha 	1134.705162	-0.043237193	0.096088522	-0.449972505	0.652730266	0.924206239
ENSMUSG00000039016.6	Timm8b	translocase of inner mitochondrial membrane 8B 	1808.368613	0.028251996	0.062789643	0.449946755	0.652748833	0.924206239
ENSMUSG00000024211.16	Grm8	glutamate receptor, metabotropic 8 	321.957337	-0.079171608	0.176039986	-0.449736503	0.652900447	0.92425028
ENSMUSG00000054885.12	4930578G10Rik	RIKEN cDNA 4930578G10 gene 	10.71147996	-0.237936387	0.529105933	-0.449695178	0.652930249	0.92425028
ENSMUSG00000081087.2	Rps15a-ps7	ribosomal protein S15A, pseudogene 7 	80.44871689	1.088165	2.419923553	0.449669164	0.652949009	0.92425028
ENSMUSG00000056952.14	Tatdn2	TatD DNase domain containing 2 	1509.838739	-0.033107044	0.073653278	-0.449498585	0.653072029	0.924344634
ENSMUSG00000115486.2	Gm49017	predicted gene, 49017 	1.85430081	-0.547429019	1.217871369	-0.449496583	0.653073472	NA
ENSMUSG00000084328.2	Gm14046	predicted gene 14046 	4.557803627	-0.475682807	1.0592476	-0.449076125	0.653376743	NA
ENSMUSG00000051965.9	Nanos2	nanos C2HC-type zinc finger 2 	36.06177664	-0.184640301	0.41130368	-0.448914779	0.653493134	0.924806526
ENSMUSG00000113993.2	Gm47659	predicted gene, 47659 	46.61193142	-0.122883812	0.273750505	-0.448889809	0.653511148	0.924806526
ENSMUSG00000064016.5	Gm648	predicted gene 648 	1.381469733	-0.68724592	1.531011039	-0.448883713	0.653515546	NA
ENSMUSG00000083391.3	Gm14148	predicted gene 14148 	5.459010301	0.419153268	0.93392946	0.448806132	0.653571515	NA
ENSMUSG00000026971.16	Itgb6	integrin beta 6 	5.293911684	-0.502832491	1.121009608	-0.448553239	0.653753973	NA
ENSMUSG00000024667.13	Tmem216	transmembrane protein 216 	181.3276071	0.057070158	0.127268147	0.44842452	0.653846849	0.924909554
ENSMUSG00000021514.19	Zfp369	zinc finger protein 369 	1501.43495	0.026474001	0.059056993	0.448278854	0.65395196	0.924909554
ENSMUSG00000070564.16	Ntn5	netrin 5 	3.651571017	-0.54965573	1.226179762	-0.448266843	0.653960627	NA
ENSMUSG00000026639.19	Lamb3	laminin, beta 3 	114.4772939	-0.116273013	0.259390458	-0.44825478	0.653969332	0.924909554
ENSMUSG00000046275.3	Trarg1	trafficking regulator of GLUT4 (SLC2A4) 1 	7.027512117	0.349334851	0.779375604	0.448224001	0.653991543	NA
ENSMUSG00000024677.14	Ms4a6b	membrane-spanning 4-domains, subfamily A, member 6B 	50.26694601	0.179782154	0.401190373	0.448121805	0.654065292	0.924909554
ENSMUSG00000049057.5	Olfr1257	olfactory receptor 1257 	2.961030955	-0.600312081	1.339812734	-0.448056707	0.654112272	NA
ENSMUSG00000026365.16	Cfh	complement component factor h 	1342.949423	0.032541068	0.072638024	0.447989441	0.654160817	0.924909554
ENSMUSG00000029319.9	Coq2	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase 	2046.234267	0.025279878	0.056438351	0.447920201	0.654210789	0.924909554
ENSMUSG00000056987.9	Fam71d	family with sequence similarity 71, member D 	11.05323493	0.381333029	0.851344668	0.447918503	0.654212014	0.924909554
ENSMUSG00000028771.14	Ptpn12	protein tyrosine phosphatase, non-receptor type 12 	1472.037883	0.044621148	0.099620393	0.447911784	0.654216864	0.924909554
ENSMUSG00000039883.6	Lrrc17	leucine rich repeat containing 17 	1556.350718	0.332275232	0.741854862	0.447897896	0.654226887	0.924909554
ENSMUSG00000103098.2	Gm37559	predicted gene, 37559 	9.836922476	-0.278796964	0.622493077	-0.447871589	0.654245874	0.924909554
ENSMUSG00000030629.16	Zfand6	zinc finger, AN1-type domain 6 	1586.357952	0.047624725	0.106339137	0.447856985	0.654256414	0.924909554
ENSMUSG00000022601.12	Zbtb11	zinc finger and BTB domain containing 11 	1910.3325	0.031245462	0.069773282	0.447814135	0.654287341	0.924909554
ENSMUSG00000104375.2	Gm6300	predicted gene 6300 	1.038168176	0.863901866	1.929273826	0.447786029	0.654307627	NA
ENSMUSG00000092558.4	Med20	mediator complex subunit 20 	1174.235477	-0.027309501	0.061001537	-0.447685452	0.654380223	0.924909554
ENSMUSG00000008036.12	Ap2s1	adaptor-related protein complex 2, sigma 1 subunit 	2424.339475	-0.029724982	0.066401644	-0.447654312	0.654402699	0.924909554
ENSMUSG00000087321.2	Gm5353	predicted gene 5353 	11.95781595	0.203582864	0.454849295	0.447583113	0.654454092	0.924909554
ENSMUSG00000062981.6	Mrpl42	mitochondrial ribosomal protein L42 	1211.613443	0.034157763	0.076334603	0.44747417	0.654532734	0.924909554
ENSMUSG00000071036.3	Gm10309	predicted gene 10309 	1.411631523	-0.820333188	1.833294425	-0.447463963	0.654540102	NA
ENSMUSG00000044165.13	Bcl2l15	BCLl2-like 15 	22.05854213	0.229936463	0.513870014	0.447460363	0.6545427	0.924909554
ENSMUSG00000047940.14	Stpg2	sperm tail PG rich repeat containing 2 	2.463307148	0.544260637	1.21665994	0.447339983	0.654629602	NA
ENSMUSG00000101940.3	Akp-ps1	alkaline phosphatase pseudogene 1 	1.831804703	-0.560998228	1.254552396	-0.447170026	0.654752302	NA
ENSMUSG00000081442.2	Gm14682	predicted gene 14682 	9.523191319	0.286818584	0.641454744	0.447137677	0.654775657	NA
ENSMUSG00000111036.2	Gm47502	predicted gene, 47502 	0.762300641	1.009234814	2.257793938	0.447000409	0.654874765	NA
ENSMUSG00000082765.4	Gm14411	predicted gene 14411 	193.6759031	-0.055800797	0.124853602	-0.446929812	0.654925738	0.925177269
ENSMUSG00000112149.2	Gm47611	predicted gene, 47611 	250.8782815	-0.098586894	0.220656497	-0.446788993	0.655027419	0.925177269
ENSMUSG00000047676.7	Rpsa-ps10	ribosomal protein SA, pseudogene 10 	23.26544378	0.959468221	2.147810998	0.446719111	0.655077881	0.925177269
ENSMUSG00000052062.15	Pard3b	par-3 family cell polarity regulator beta 	177.1878939	-0.067534963	0.151185568	-0.446702443	0.655089918	0.925177269
ENSMUSG00000020793.6	Galr2	galanin receptor 2 	0.49318309	-1.323534667	2.962965941	-0.446692501	0.655097097	NA
ENSMUSG00000022997.10	Wnt1	wingless-type MMTV integration site family, member 1 	1.375326365	-0.74338455	1.664279348	-0.446670537	0.655112958	NA
ENSMUSG00000109901.3	Chmp1b	charged multivesicular body protein 1B 	1181.183602	-0.036908263	0.082641611	-0.446606287	0.655159355	0.925177269
ENSMUSG00000024056.11	Ndc80	NDC80 kinetochore complex component 	38.95166094	-0.16466445	0.368730177	-0.446571667	0.655184357	0.925177269
ENSMUSG00000048424.19	Ranbp3l	RAN binding protein 3-like 	162.1865505	0.09668253	0.216509996	0.446549957	0.655200035	0.925177269
ENSMUSG00000031386.15	Hcfc1	host cell factor C1 	6029.559994	-0.030890411	0.069185356	-0.44648771	0.655244988	0.925177269
ENSMUSG00000100204.2	Gm4849	predicted gene 4849 	0.554172275	-1.548185894	3.467559335	-0.446477117	0.655252639	NA
ENSMUSG00000026469.15	Xpr1	xenotropic and polytropic retrovirus receptor 1 	5472.057189	0.035597991	0.079732246	0.446469187	0.655258365	0.925177269
ENSMUSG00000037957.15	Wdr20	WD repeat domain 20 	745.289619	0.028641	0.06415755	0.446416675	0.65529629	0.925177269
ENSMUSG00000054203.8	Ifi205	interferon activated gene 205 	0.515769613	-1.309448242	2.93564361	-0.446051502	0.655560044	NA
ENSMUSG00000043314.7	Olfr30	olfactory receptor 30 	0.515769613	-1.309448242	2.93564361	-0.446051502	0.655560044	NA
ENSMUSG00000098083.2	Gm8957	predicted gene 8957 	0.515769613	-1.309448242	2.93564361	-0.446051502	0.655560044	NA
ENSMUSG00000027165.17	Iftap	intraflagellar transport associated protein 	873.0391133	0.03817213	0.085579749	0.446041619	0.655567183	0.925435199
ENSMUSG00000064288.5	H4c12	H4 clustered histone 12 	12.03735771	-0.329605382	0.739202134	-0.445893439	0.655674222	0.925435199
ENSMUSG00000106827.2	Gm7556	predicted gene 7556 	2.277763349	0.611322173	1.371025583	0.445886773	0.655679037	NA
ENSMUSG00000043157.9	Arl11	ADP-ribosylation factor-like 11 	25.86270671	0.177223123	0.397489305	0.44585633	0.655701029	0.925435199
ENSMUSG00000009640.12	Dmap1	DNA methyltransferase 1-associated protein 1 	810.3306098	0.038461561	0.086265455	0.445851254	0.655704696	0.925435199
ENSMUSG00000117807.2	Gm7074	predicted gene 7074 	3.593469076	-0.557418336	1.250484312	-0.445761959	0.655769203	NA
ENSMUSG00000028996.10	Rbp7	retinol binding protein 7, cellular 	2.525809933	0.609412497	1.367142779	0.445756293	0.655773296	NA
ENSMUSG00000084063.2	Gm5934	predicted gene 5934 	2.372328691	-0.465820945	1.045159831	-0.445693501	0.655818659	NA
ENSMUSG00000042359.19	Osbpl6	oxysterol binding protein-like 6 	2485.161955	0.044780901	0.10048517	0.445646864	0.655852353	0.925562194
ENSMUSG00000019927.7	Ube2d1	ubiquitin-conjugating enzyme E2D 1 	1733.173929	-0.026730087	0.059990707	-0.445570464	0.65590755	0.925562194
ENSMUSG00000105800.2	Gm18985	predicted gene, 18985 	1.176007132	-0.942969695	2.117466421	-0.445329232	0.656081846	NA
ENSMUSG00000074627.12	Mroh8	maestro heat-like repeat family member 8 	25.92990764	0.215706859	0.484379823	0.445325854	0.656084286	0.925731936
