GENE_ID	GENE_NAME	GENE_DESCRIPTION	EXPR WT O T3	baseMean	log2FoldChange	lfcSE	stat	FC	pvalue	padj
ENSMUSG00000020358	Hnrnpab	heterogeneous nuclear ribonucleoprotein A/B 	2	3664.32	-0.08	0.07	-1.16	0.95	0.24802	0.72973
ENSMUSG00000110124	Gm4247	predicted gene 4247 	2	55.78	-0.25	0.22	-1.15	0.84	0.24839	0.7299
ENSMUSG00000038168	P3h2	prolyl 3-hydroxylase 2 	2	125.66	-0.34	0.3	-1.15	0.79	0.24826	0.7299
ENSMUSG00000019564	Arid3a	AT rich interactive domain 3A (BRIGHT-like) 	2	283.92	-0.13	0.11	-1.15	0.91	0.24837	0.7299
ENSMUSG00000028619	Tceanc2	transcription elongation factor A (SII) N-terminal and central domain containing 2 	2	771.56	-0.27	0.23	-1.15	0.83	0.2484	0.7299
ENSMUSG00000023106	Denr	density-regulated protein 	2	1660.77	-0.06	0.05	-1.15	0.96	0.24821	0.7299
ENSMUSG00000022337	Emc2	ER membrane protein complex subunit 2 	2	2052.27	-0.05	0.05	-1.15	0.96	0.2482	0.7299
ENSMUSG00000039959	Hip1	huntingtin interacting protein 1 	2	3477.59	-0.09	0.08	-1.15	0.94	0.24843	0.7299
ENSMUSG00000021124	Vti1b	vesicle transport through interaction with t-SNAREs 1B 	2	5066.12	-0.07	0.06	-1.15	0.95	0.24832	0.7299
ENSMUSG00000032503	Arpp21	cyclic AMP-regulated phosphoprotein, 21 	2	57156.3	-0.14	0.12	-1.15	0.91	0.24854	0.73008
ENSMUSG00000033355	Rtp4	receptor transporter protein 4 	2	98.72	0.3	0.26	1.15	1.23	0.24865	0.73028
ENSMUSG00000024319	Vps52	VPS52 GARP complex subunit 	2	3339.64	-0.2	0.17	-1.15	0.87	0.2487	0.73028
ENSMUSG00000032407	U2surp	U2 snRNP-associated SURP domain containing 	2	3399.77	-0.05	0.05	-1.15	0.96	0.24885	0.73061
ENSMUSG00000009376	Met	met proto-oncogene 	2	36.32	0.57	0.5	1.15	1.49	0.24897	0.73064
ENSMUSG00000034911	Ushbp1	USH1 protein network component harmonin binding protein 1 	2	364.61	0.14	0.12	1.15	1.1	0.24892	0.73064
ENSMUSG00000031438	Rnf128	ring finger protein 128 	2	423.07	0.2	0.17	1.15	1.15	0.249	0.73064
ENSMUSG00000024902	Mrpl11	mitochondrial ribosomal protein L11 	2	1135.81	-0.08	0.07	-1.15	0.94	0.24918	0.73092
ENSMUSG00000040964	Arhgef10l	Rho guanine nucleotide exchange factor (GEF) 10-like 	2	1431.88	0.11	0.09	1.15	1.08	0.24918	0.73092
ENSMUSG00000028256	Odf2l	outer dense fiber of sperm tails 2-like 	2	709.86	-0.18	0.15	-1.15	0.88	0.24935	0.73122
ENSMUSG00000055204	Ankrd17	ankyrin repeat domain 17 	2	7806.15	0.08	0.07	1.15	1.05	0.24937	0.73122
ENSMUSG00000050919	Zfp366	zinc finger protein 366 	2	395.52	0.2	0.17	1.15	1.15	0.24947	0.73136
ENSMUSG00000052395	Rft1	RFT1 homolog 	2	487.19	-0.15	0.13	-1.15	0.9	0.24983	0.73218
ENSMUSG00000017747	Ghdc	GH3 domain containing 	2	301.75	0.17	0.15	1.15	1.12	0.24991	0.73226
ENSMUSG00000020021	Fgd6	FYVE, RhoGEF and PH domain containing 6 	2	916.51	0.12	0.11	1.15	1.09	0.25001	0.73228
ENSMUSG00000004633	Chn2	chimerin 2 	2	2337.15	0.09	0.08	1.15	1.07	0.25009	0.73228
ENSMUSG00000029998	Pcyox1	prenylcysteine oxidase 1 	2	4253.61	-0.09	0.08	-1.15	0.94	0.25007	0.73228
ENSMUSG00000025092	Hspa12a	heat shock protein 12A 	2	5708.7	0.07	0.06	1.15	1.05	0.25001	0.73228
ENSMUSG00000033615	Cplx1	complexin 1 	2	16354.06	0.09	0.07	1.15	1.06	0.25022	0.73253
ENSMUSG00000058979	Hdhd5	haloacid dehalogenase like hydrolase domain containing 5 	2	1432.39	0.07	0.06	1.15	1.05	0.25084	0.73381
ENSMUSG00000021400	Wrnip1	Werner helicase interacting protein 1 	2	1858.87	-0.07	0.06	-1.15	0.95	0.25082	0.73381
ENSMUSG00000047454	Gphn	gephyrin 	2	3535.36	-0.07	0.06	-1.15	0.95	0.25081	0.73381
ENSMUSG00000018076	Med13l	mediator complex subunit 13-like 	2	5319.75	0.09	0.08	1.15	1.06	0.25083	0.73381
ENSMUSG00000028926	Cdk14	cyclin-dependent kinase 14 	2	2230.34	0.17	0.14	1.15	1.12	0.25107	0.73436
ENSMUSG00000038812	Trmt112	tRNA methyltransferase 11-2 	2	508.29	0.21	0.19	1.15	1.16	0.25118	0.73444
ENSMUSG00000097789	Gm2115	predicted gene 2115 	2	993.15	0.18	0.16	1.15	1.13	0.25128	0.73444
ENSMUSG00000028957	Per3	period circadian clock 3 	2	2219.59	-0.11	0.09	-1.15	0.93	0.25125	0.73444
ENSMUSG00000024581	Napg	N-ethylmaleimide sensitive fusion protein attachment protein gamma 	2	4485.01	0.08	0.07	1.15	1.06	0.25125	0.73444
ENSMUSG00000027472	Pdrg1	p53 and DNA damage regulated 1 	2	1699.39	-0.11	0.09	-1.15	0.93	0.25137	0.73458
ENSMUSG00000031506	Ptpn7	protein tyrosine phosphatase, non-receptor type 7 	2	594.28	-0.13	0.11	-1.15	0.91	0.25154	0.73495
ENSMUSG00000027887	Sypl2	synaptophysin-like 2 	2	49.65	0.39	0.34	1.15	1.31	0.25164	0.73497
ENSMUSG00000029510	Gpc2	glypican 2 (cerebroglycan) 	2	225.96	0.24	0.21	1.15	1.18	0.25164	0.73497
ENSMUSG00000055943	Emc7	ER membrane protein complex subunit 7 	2	3733.29	0.06	0.05	1.15	1.04	0.25174	0.73515
ENSMUSG00000027344	Fsip1	fibrous sheath-interacting protein 1 	2	32.32	-0.44	0.38	-1.14	0.74	0.25228	0.73518
ENSMUSG00000022429	Dmc1	DNA meiotic recombinase 1 	2	47.14	0.34	0.3	1.15	1.27	0.25206	0.73518
ENSMUSG00000096549	Prickle4	prickle planar cell polarity protein 4 	2	77.62	0.31	0.27	1.14	1.24	0.25255	0.73518
ENSMUSG00000024869	Gm49405	predicted gene, 49405 	2	176.69	0.17	0.15	1.15	1.13	0.25203	0.73518
ENSMUSG00000035033	Tbr1	T-box brain transcription factor 1 	2	242.25	-0.85	0.75	-1.15	0.55	0.25193	0.73518
ENSMUSG00000034192	Lsm3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated 	2	322.96	-0.12	0.11	-1.14	0.92	0.25263	0.73518
ENSMUSG00000024079	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2 	2	371.45	0.15	0.13	1.15	1.11	0.25214	0.73518
ENSMUSG00000021368	Tbc1d7	TBC1 domain family, member 7 	2	506.91	-0.14	0.13	-1.14	0.91	0.25283	0.73518
ENSMUSG00000024395	Lims2	LIM and senescent cell antigen like domains 2 	2	652.59	0.16	0.14	1.14	1.12	0.25234	0.73518
ENSMUSG00000042064	Myo3b	myosin IIIB 	2	594.65	-0.13	0.11	-1.15	0.92	0.25186	0.73518
ENSMUSG00000038844	Kif16b	kinesin family member 16B 	2	594.43	-0.13	0.11	-1.15	0.91	0.25209	0.73518
ENSMUSG00000079109	Pms2	PMS1 homolog2, mismatch repair system component 	2	655.83	-0.24	0.21	-1.14	0.85	0.25231	0.73518
ENSMUSG00000052713	Zfp608	zinc finger protein 608 	2	944.32	0.12	0.11	1.14	1.09	0.25233	0.73518
ENSMUSG00000042507	Mideas	mitotic deacetylase associated SANT domain protein 	2	1228.12	-0.19	0.17	-1.15	0.87	0.25202	0.73518
ENSMUSG00000059743	Fdps	farnesyl diphosphate synthetase 	2	1327.01	-0.13	0.12	-1.14	0.91	0.25241	0.73518
ENSMUSG00000056069	Otulinl	OTU deubiquitinase with linear linkage specificity like 	2	1361.98	-0.11	0.1	-1.14	0.93	0.25257	0.73518
ENSMUSG00000016940	Kctd2	potassium channel tetramerisation domain containing 2 	2	1484.2	0.08	0.07	1.14	1.06	0.25271	0.73518
ENSMUSG00000034285	Nipsnap1	nipsnap homolog 1 	2	1869.14	0.09	0.08	1.14	1.06	0.25282	0.73518
ENSMUSG00000022223	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1 	2	2043.86	0.07	0.06	1.14	1.05	0.2525	0.73518
ENSMUSG00000058441	Panx2	pannexin 2 	2	2396.35	0.08	0.07	1.14	1.06	0.25256	0.73518
ENSMUSG00000031985	Gnpat	glyceronephosphate O-acyltransferase 	2	2865.85	-0.08	0.07	-1.14	0.95	0.25278	0.73518
ENSMUSG00000061755	Bod1l	biorientation of chromosomes in cell division 1-like 	2	4291.2	0.06	0.05	1.14	1.04	0.25267	0.73518
ENSMUSG00000036052	Dnajb5	DnaJ heat shock protein family (Hsp40) member B5 	2	4936.2	0.43	0.38	1.14	1.35	0.25251	0.73518
ENSMUSG00000038151	Prdm1	PR domain containing 1, with ZNF domain 	2	39	0.38	0.33	1.14	1.3	0.25297	0.73521
ENSMUSG00000033777	Tlr13	toll-like receptor 13 	2	114.52	0.22	0.19	1.14	1.16	0.25301	0.73521
ENSMUSG00000032125	Robo4	roundabout guidance receptor 4 	2	370.22	-0.22	0.19	-1.14	0.86	0.25302	0.73521
ENSMUSG00000050192	Eif5a2	eukaryotic translation initiation factor 5A2 	2	1989.77	0.12	0.1	1.14	1.09	0.25302	0.73521
ENSMUSG00000003271	Sult2b1	sulfotransferase family, cytosolic, 2B, member 1 	2	93.58	0.22	0.2	1.14	1.17	0.25344	0.73521
ENSMUSG00000020799	Tekt1	tektin 1 	2	92.9	-0.27	0.24	-1.14	0.83	0.25337	0.73521
ENSMUSG00000047867	Gimap6	GTPase, IMAP family member 6 	2	121.84	-0.21	0.18	-1.14	0.86	0.25329	0.73521
ENSMUSG00000024663	Rab3il1	RAB3A interacting protein (rabin3)-like 1 	2	397.32	0.1	0.09	1.14	1.07	0.25348	0.73521
ENSMUSG00000054555	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha) 	2	421.03	-0.17	0.15	-1.14	0.89	0.25356	0.73521
ENSMUSG00000024792	Zfpl1	zinc finger like protein 1 	2	654.82	0.12	0.1	1.14	1.08	0.25337	0.73521
ENSMUSG00000030417	Pdcd5	programmed cell death 5 	2	857.12	0.12	0.1	1.14	1.08	0.2535	0.73521
ENSMUSG00000021519	Mterf3	mitochondrial transcription termination factor 3 	2	1097.35	0.12	0.1	1.14	1.09	0.25323	0.73521
ENSMUSG00000034898	Filip1	filamin A interacting protein 1 	2	1602.08	-0.14	0.12	-1.14	0.91	0.25357	0.73521
ENSMUSG00000024231	Cul2	cullin 2 	2	2278.04	0.1	0.09	1.14	1.07	0.25326	0.73521
ENSMUSG00000055430	Nap1l5	nucleosome assembly protein 1-like 5 	2	5855.18	0.36	0.31	1.14	1.28	0.25311	0.73521
ENSMUSG00000026944	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2 	2	17321.58	-0.08	0.07	-1.14	0.95	0.2536	0.73521
ENSMUSG00000028096	Gpr89	G protein-coupled receptor 89 	2	1788.75	-0.07	0.07	-1.14	0.95	0.25372	0.73528
ENSMUSG00000056258	Kcnq3	potassium voltage-gated channel, subfamily Q, member 3 	2	14882.39	-0.06	0.06	-1.14	0.96	0.25369	0.73528
ENSMUSG00000045009	Prrt3	proline-rich transmembrane protein 3 	2	1699.41	0.09	0.08	1.14	1.06	0.25384	0.73551
ENSMUSG00000001948	Spa17	sperm autoantigenic protein 17 	2	87.04	-0.23	0.2	-1.14	0.85	0.2541	0.73607
ENSMUSG00000002372	Ranbp3	RAN binding protein 3 	2	2976.22	0.06	0.05	1.14	1.04	0.25412	0.73607
ENSMUSG00000005580	Adcy9	adenylate cyclase 9 	2	1830.47	-0.06	0.05	-1.14	0.96	0.2543	0.73644
ENSMUSG00000044349	Snhg11	small nucleolar RNA host gene 11 	2	78151.15	-0.08	0.07	-1.14	0.95	0.2544	0.73662
ENSMUSG00000022434	Fam118a	family with sequence similarity 118, member A 	2	684.45	0.13	0.11	1.14	1.09	0.25447	0.73668
ENSMUSG00000060441	Trim5	tripartite motif-containing 5 	2	52.3	0.27	0.23	1.14	1.2	0.25465	0.73696
ENSMUSG00000027430	Dtd1	D-tyrosyl-tRNA deacylase 1 	2	1328.46	-0.11	0.09	-1.14	0.93	0.25462	0.73696
ENSMUSG00000057530	Ece1	endothelin converting enzyme 1 	2	3388.75	0.2	0.18	1.14	1.15	0.25471	0.737
ENSMUSG00000048967	Yjefn3	YjeF N-terminal domain containing 3 	2	203.63	-0.28	0.25	-1.14	0.82	0.25518	0.73811
ENSMUSG00000054099	Slc25a40	solute carrier family 25, member 40 	2	590.01	-0.15	0.13	-1.14	0.9	0.2552	0.73811
ENSMUSG00000024942	Capn1	calpain 1 	2	641.54	-0.12	0.1	-1.14	0.92	0.25523	0.73811
ENSMUSG00000078578	Ube2d3	ubiquitin-conjugating enzyme E2D 3 	2	7552.36	0.14	0.13	1.14	1.1	0.25529	0.73814
ENSMUSG00000079323	Gm20661	predicted gene 20661 	2	65.74	-0.39	0.35	-1.14	0.76	0.2557	0.73882
ENSMUSG00000078958	Atp6ap1l	ATPase, H+ transporting, lysosomal accessory protein 1-like 	2	455.14	-0.18	0.16	-1.14	0.88	0.25587	0.73882
ENSMUSG00000068015	Lrch1	leucine-rich repeats and calponin homology (CH) domain containing 1 	2	840.28	0.5	0.44	1.14	1.42	0.25583	0.73882
ENSMUSG00000040441	Slc26a10	solute carrier family 26, member 10 	2	956.91	0.17	0.15	1.14	1.13	0.25593	0.73882
ENSMUSG00000035047	Kri1	KRI1 homolog 	2	1240.96	0.08	0.07	1.14	1.06	0.25565	0.73882
ENSMUSG00000030323	Ift122	intraflagellar transport 122 	2	1280.82	-0.14	0.13	-1.14	0.91	0.25583	0.73882
ENSMUSG00000052005	Gm9864	predicted gene 9864 	2	1474.39	0.06	0.05	1.14	1.04	0.25582	0.73882
ENSMUSG00000091421	Gm4202	predicted gene 4202 	2	2216.14	-0.11	0.09	-1.14	0.93	0.2559	0.73882
ENSMUSG00000044252	Osbpl1a	oxysterol binding protein-like 1A 	2	5087.02	-0.06	0.05	-1.14	0.96	0.25574	0.73882
ENSMUSG00000038059	Smim3	small integral membrane protein 3 	2	218.64	0.15	0.13	1.14	1.11	0.25611	0.73886
ENSMUSG00000063849	Ppcdc	phosphopantothenoylcysteine decarboxylase 	2	821.78	0.09	0.08	1.14	1.07	0.25622	0.73886
ENSMUSG00000057329	Bcl2	B cell leukemia/lymphoma 2 	2	1290.67	0.21	0.18	1.14	1.16	0.25626	0.73886
ENSMUSG00000022816	Fstl1	follistatin-like 1 	2	1515.08	-0.08	0.07	-1.14	0.95	0.25625	0.73886
ENSMUSG00000022013	Dnajc15	DnaJ heat shock protein family (Hsp40) member C15 	2	1850.8	0.09	0.08	1.14	1.07	0.25612	0.73886
ENSMUSG00000056076	Eif3b	eukaryotic translation initiation factor 3, subunit B 	2	3864.17	0.09	0.08	1.14	1.07	0.25615	0.73886
ENSMUSG00000026587	Astn1	astrotactin 1 	2	9532.94	0.09	0.08	1.14	1.07	0.2561	0.73886
ENSMUSG00000029223	Uchl1	ubiquitin carboxy-terminal hydrolase L1 	2	12201.32	-0.13	0.11	-1.14	0.91	0.25632	0.73891
ENSMUSG00000036206	Sh3bp4	SH3-domain binding protein 4 	2	834.57	0.1	0.09	1.14	1.07	0.25637	0.73891
ENSMUSG00000025220	Oga	O-GlcNAcase 	2	13234.46	-0.05	0.05	-1.13	0.96	0.2565	0.73917
ENSMUSG00000049734	Trex1	three prime repair exonuclease 1 	2	147.77	0.17	0.15	1.13	1.12	0.25661	0.73922
ENSMUSG00000030802	Bckdk	branched chain ketoacid dehydrogenase kinase 	2	1217.24	0.11	0.1	1.13	1.08	0.2566	0.73922
ENSMUSG00000062510	Nsl1	NSL1, MIS12 kinetochore complex component 	2	66.82	-0.41	0.36	-1.13	0.75	0.25691	0.73928
ENSMUSG00000022759	Lrrc74b	leucine rich repeat containing 74B 	2	123.14	-0.36	0.32	-1.13	0.78	0.25691	0.73928
ENSMUSG00000078768	Zfp566	zinc finger protein 566 	2	178.7	-0.24	0.21	-1.13	0.85	0.25684	0.73928
ENSMUSG00000075227	Znhit2	zinc finger, HIT domain containing 2 	2	400.52	0.12	0.11	1.13	1.09	0.25686	0.73928
ENSMUSG00000031577	Tti2	TELO2 interacting protein 2 	2	912.33	0.07	0.06	1.13	1.05	0.25695	0.73928
ENSMUSG00000020211	Sf3a2	splicing factor 3a, subunit 2 	2	1094.11	-0.07	0.06	-1.13	0.95	0.25683	0.73928
ENSMUSG00000074282	Zfp94	zinc finger protein 94 	2	393.89	0.13	0.12	1.13	1.1	0.2571	0.7393
ENSMUSG00000045996	Polr2k	polymerase (RNA) II (DNA directed) polypeptide K 	2	381.33	-0.1	0.09	-1.13	0.93	0.25718	0.7393
ENSMUSG00000020719	Ddx5	DEAD box helicase 5 	2	51290.27	-0.09	0.08	-1.13	0.94	0.2571	0.7393
ENSMUSG00000019943	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1 	2	62233.23	-0.1	0.09	-1.13	0.93	0.25715	0.7393
ENSMUSG00000032702	Kank1	KN motif and ankyrin repeat domains 1 	2	957.08	0.08	0.07	1.13	1.06	0.25724	0.73935
ENSMUSG00000018238	Gdf9	growth differentiation factor 9 	2	28.99	-0.54	0.48	-1.13	0.69	0.2575	0.73983
ENSMUSG00000023015	Racgap1	Rac GTPase-activating protein 1 	2	537.62	-0.14	0.13	-1.13	0.91	0.25746	0.73983
ENSMUSG00000020937	Plcd3	phospholipase C, delta 3 	2	268.67	0.16	0.14	1.13	1.12	0.25773	0.74037
ENSMUSG00000079111	Kdelr2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 	2	596.38	0.08	0.07	1.13	1.06	0.25788	0.74059
ENSMUSG00000064037	Gpn1	GPN-loop GTPase 1 	2	1001.86	0.12	0.1	1.13	1.09	0.25799	0.74059
ENSMUSG00000045691	Thtpa	thiamine triphosphatase 	2	1070.75	0.09	0.08	1.13	1.07	0.25791	0.74059
ENSMUSG00000040520	Manea	mannosidase, endo-alpha 	2	1424.24	-0.07	0.06	-1.13	0.95	0.25796	0.74059
ENSMUSG00000053644	Aldh7a1	aldehyde dehydrogenase family 7, member A1 	2	3349.83	0.1	0.09	1.13	1.08	0.25808	0.74059
ENSMUSG00000000628	Hk2	hexokinase 2 	2	187.12	0.26	0.23	1.13	1.19	0.25847	0.74115
ENSMUSG00000034826	Nup54	nucleoporin 54 	2	570.2	-0.16	0.14	-1.13	0.9	0.25851	0.74115
ENSMUSG00000030905	Crym	crystallin, mu 	2	5012.88	-0.12	0.11	-1.13	0.92	0.25853	0.74115
ENSMUSG00000026879	Gsn	gelsolin 	2	5231.17	-0.08	0.07	-1.13	0.95	0.25854	0.74115
ENSMUSG00000030835	Nomo1	nodal modulator 1 	2	5604.85	0.04	0.04	1.13	1.03	0.25847	0.74115
ENSMUSG00000028618	Tmem59	transmembrane protein 59 	2	6848.83	-0.05	0.05	-1.13	0.96	0.25842	0.74115
ENSMUSG00000019790	Stxbp5	syntaxin binding protein 5 (tomosyn) 	2	3871.68	0.08	0.07	1.13	1.06	0.25869	0.74145
ENSMUSG00000034156	Tspoap1	TSPO associated protein 1 	2	18843.93	-0.08	0.07	-1.13	0.95	0.25875	0.74148
ENSMUSG00000030699	Tbx6	T-box 6 	2	36.74	0.34	0.3	1.13	1.27	0.25907	0.74224
ENSMUSG00000003868	Ruvbl2	RuvB-like protein 2 	2	985.67	0.18	0.16	1.13	1.13	0.2591	0.74224
ENSMUSG00000044819	Oxgr1	oxoglutarate (alpha-ketoglutarate) receptor 1 	2	36.73	-0.29	0.26	-1.13	0.82	0.25945	0.74283
ENSMUSG00000039632	Odad3	outer dynein arm docking complex subunit 3 	2	288.6	0.15	0.14	1.13	1.11	0.25938	0.74283
ENSMUSG00000031819	Emc8	ER membrane protein complex subunit 8 	2	2610.48	0.09	0.08	1.13	1.06	0.25942	0.74283
ENSMUSG00000007837	Prrg2	proline-rich Gla (G-carboxyglutamic acid) polypeptide 2 	2	172.93	-0.25	0.22	-1.13	0.84	0.26001	0.74285
ENSMUSG00000101678	Gm29609	predicted gene 29609 	2	233.63	0.25	0.22	1.13	1.19	0.25984	0.74285
ENSMUSG00000008398	Elk3	ELK3, member of ETS oncogene family 	2	320.27	0.13	0.11	1.13	1.09	0.2597	0.74285
ENSMUSG00000056268	Dennd1b	DENN/MADD domain containing 1B 	2	654.89	0.14	0.12	1.13	1.1	0.25998	0.74285
ENSMUSG00000063439	B9d2	B9 protein domain 2 	2	625.26	-0.14	0.12	-1.13	0.91	0.2598	0.74285
ENSMUSG00000020605	Hs1bp3	HCLS1 binding protein 3 	2	738.27	0.21	0.19	1.13	1.16	0.25988	0.74285
ENSMUSG00000023452	Pisd	phosphatidylserine decarboxylase 	2	1867.61	0.08	0.07	1.13	1.06	0.25994	0.74285
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor 	2	2035.47	0.1	0.09	1.13	1.07	0.26005	0.74285
ENSMUSG00000066357	Wdr6	WD repeat domain 6 	2	3252.4	0.46	0.41	1.13	1.38	0.26004	0.74285
ENSMUSG00000025885	Myo5b	myosin VB 	2	2648.81	-0.12	0.11	-1.13	0.92	0.25985	0.74285
ENSMUSG00000020422	Tns3	tensin 3 	2	4118.19	0.12	0.11	1.13	1.09	0.2596	0.74285
ENSMUSG00000062115	Rai1	retinoic acid induced 1 	2	4530.89	0.08	0.07	1.13	1.06	0.25993	0.74285
ENSMUSG00000025318	Jph3	junctophilin 3 	2	8928.17	0.09	0.08	1.13	1.07	0.26011	0.74285
ENSMUSG00000062270	Morf4l1	mortality factor 4 like 1 	2	12487.79	-0.1	0.09	-1.13	0.93	0.25984	0.74285
ENSMUSG00000111590	Olfr1192-ps1	olfactory receptor 1192, pseudogene 1 	2	100.92	0.2	0.18	1.13	1.15	0.26035	0.74302
ENSMUSG00000028706	Nsun4	NOL1/NOP2/Sun domain family, member 4 	2	455.45	0.29	0.26	1.13	1.23	0.26057	0.74302
ENSMUSG00000042626	Shc1	src homology 2 domain-containing transforming protein C1 	2	518.75	0.12	0.11	1.13	1.09	0.26035	0.74302
ENSMUSG00000059975	Zfp74	zinc finger protein 74 	2	629.68	-0.18	0.16	-1.13	0.88	0.2604	0.74302
ENSMUSG00000029219	Slc10a4	solute carrier family 10 (sodium/bile acid cotransporter family), member 4 	2	739.39	0.15	0.13	1.13	1.11	0.26048	0.74302
ENSMUSG00000024940	Ltbp3	latent transforming growth factor beta binding protein 3 	2	1525.01	0.17	0.15	1.13	1.13	0.26034	0.74302
ENSMUSG00000032537	Ephb1	Eph receptor B1 	2	3742.15	-0.12	0.1	-1.13	0.92	0.26051	0.74302
ENSMUSG00000039419	Cntnap2	contactin associated protein-like 2 	2	7010.77	0.14	0.13	1.12	1.1	0.2606	0.74302
ENSMUSG00000020349	Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform 	2	13989.64	-0.05	0.05	-1.12	0.96	0.2606	0.74302
ENSMUSG00000048617	Rtbdn	retbindin 	2	25.89	0.57	0.51	1.12	1.49	0.26107	0.7431
ENSMUSG00000043036	Ccdc63	coiled-coil domain containing 63 	2	36.34	0.39	0.35	1.12	1.31	0.26087	0.7431
ENSMUSG00000038560	Sp6	trans-acting transcription factor 6 	2	33.25	-0.32	0.28	-1.12	0.8	0.26082	0.7431
ENSMUSG00000020553	Pctp	phosphatidylcholine transfer protein 	2	88.44	0.21	0.19	1.12	1.16	0.2608	0.7431
ENSMUSG00000072647	Adam1a	a disintegrin and metallopeptidase domain 1a 	2	624.03	-0.13	0.12	-1.12	0.91	0.26106	0.7431
ENSMUSG00000032497	Lrrfip2	leucine rich repeat (in FLII) interacting protein 2 	2	1013.07	0.14	0.13	1.12	1.1	0.2611	0.7431
ENSMUSG00000022562	Oplah	5-oxoprolinase (ATP-hydrolysing) 	2	1010.38	-0.07	0.06	-1.12	0.95	0.26121	0.7431
ENSMUSG00000068798	Rap1a	RAS-related protein 1a 	2	1635.73	-0.07	0.06	-1.12	0.95	0.26117	0.7431
ENSMUSG00000024219	Anks1	ankyrin repeat and SAM domain containing 1 	2	1847.58	0.12	0.11	1.12	1.09	0.2607	0.7431
ENSMUSG00000038368	Focad	focadhesin 	2	3294.66	0.11	0.1	1.12	1.08	0.26106	0.7431
ENSMUSG00000015932	Dstn	destrin 	2	4328.69	-0.06	0.05	-1.12	0.96	0.26122	0.7431
ENSMUSG00000027298	Tyro3	TYRO3 protein tyrosine kinase 3 	2	10975.34	0.11	0.09	1.12	1.08	0.26111	0.7431
ENSMUSG00000035152	Ap2b1	adaptor-related protein complex 2, beta 1 subunit 	2	14687.23	0.07	0.06	1.12	1.05	0.26111	0.7431
ENSMUSG00000037738	Nek5	NIMA (never in mitosis gene a)-related expressed kinase 5 	2	52.12	-0.42	0.37	-1.12	0.75	0.26146	0.74316
ENSMUSG00000003348	Mob3a	MOB kinase activator 3A 	2	350.79	0.14	0.12	1.12	1.1	0.26146	0.74316
ENSMUSG00000038683	Pak1ip1	PAK1 interacting protein 1 	2	1454.95	0.11	0.09	1.12	1.08	0.2614	0.74316
ENSMUSG00000000959	Oxa1l	oxidase assembly 1-like 	2	1678.84	0.09	0.08	1.12	1.06	0.26134	0.74316
ENSMUSG00000022201	Zfr	zinc finger RNA binding protein 	2	10856.69	0.06	0.06	1.12	1.05	0.26132	0.74316
ENSMUSG00000028811	Yars	tyrosyl-tRNA synthetase 	2	3927.89	0.06	0.05	1.12	1.04	0.26156	0.74329
ENSMUSG00000034544	Rsrc1	arginine/serine-rich coiled-coil 1 	2	1213.24	0.1	0.09	1.12	1.07	0.26163	0.74336
ENSMUSG00000038233	Gask1a	golgi associated kinase 1A 	2	307.25	0.12	0.11	1.12	1.09	0.26171	0.74347
ENSMUSG00000070420	Zscan25	zinc finger and SCAN domain containing 25 	2	485.54	-0.1	0.09	-1.12	0.93	0.26176	0.74349
ENSMUSG00000024101	Washc1	WASH complex subunit 1 	2	1168.85	-0.09	0.08	-1.12	0.94	0.26189	0.7436
ENSMUSG00000006930	Hap1	huntingtin-associated protein 1 	2	5493.84	0.42	0.38	1.12	1.34	0.26185	0.7436
ENSMUSG00000033720	Sfxn5	sideroflexin 5 	2	7103.22	0.08	0.07	1.12	1.06	0.26194	0.7436
ENSMUSG00000050855	Zfp940	zinc finger protein 940 	2	561.71	-0.29	0.26	-1.12	0.82	0.2623	0.74372
ENSMUSG00000014232	Cluap1	clusterin associated protein 1 	2	873.5	-0.07	0.06	-1.12	0.95	0.26239	0.74372
ENSMUSG00000014850	Msh3	mutS homolog 3 	2	1203.83	-0.09	0.08	-1.12	0.94	0.26246	0.74372
ENSMUSG00000054408	Spcs3	signal peptidase complex subunit 3 homolog (S. cerevisiae) 	2	3258.25	-0.07	0.06	-1.12	0.95	0.2625	0.74372
ENSMUSG00000000915	Hip1r	huntingtin interacting protein 1 related 	2	4314.05	0.09	0.08	1.12	1.07	0.26252	0.74372
ENSMUSG00000025613	Cct8	chaperonin containing Tcp1, subunit 8 (theta) 	2	5798.61	0.07	0.06	1.12	1.05	0.26235	0.74372
ENSMUSG00000008855	Hdac5	histone deacetylase 5 	2	6271.83	0.1	0.09	1.12	1.07	0.26235	0.74372
ENSMUSG00000024268	Celf4	CUGBP, Elav-like family member 4 	2	11393.72	0.09	0.08	1.12	1.07	0.2625	0.74372
ENSMUSG00000026864	Hspa5	heat shock protein 5 	2	12679.9	0.37	0.33	1.12	1.29	0.26227	0.74372
